1、	筒、亭、后、挽
45、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
46、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
47、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
48、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
49、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
50、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
51、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
52、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
53、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
54、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
55、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
56、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
57、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
58、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
59、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
60、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
61、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
62、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
63、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
64、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
65、	筒、亭、后、挽
66、	搜、敬、疮、游
67、	觉得、争论、谬误、昂然
68、	大学生、别针儿、加塞儿
69、	安居乐业、情不自禁、桀骜不驯
70、	青青园中葵，朝露待日夕
71、	春花秋月何时了，往事知多少
72、	八仙过海，各显神通
73、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
74、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
75、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
76、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
77、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
78、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
79、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
80、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
81、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
82、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
83、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
84、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
85、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
86、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
87、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
88、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
89、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
90、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
91、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
92、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
93、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
94、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
95、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
96、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
97、	筒、亭、后、挽
98、	搜、敬、疮、游
99、	觉得、争论、谬误、昂然
100、	大学生、别针儿、加塞儿
101、	安居乐业、情不自禁、桀骜不驯
102、	青青园中葵，朝露待日夕
103、	春花秋月何时了，往事知多少
104、	八仙过海，各显神通
105、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
106、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
107、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
108、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
109、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
110、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
111、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
112、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
113、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
114、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
115、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
116、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
117、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
118、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
119、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
120、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
121、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
122、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
123、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
124、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
125、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
126、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
